,Date,Round,Home Team,Away Team,Home Score,Away Score,Winner,Season
134,2001-07-29 14:10:00,17,Hawthorn,Carlton,96,93,Home,2001
135,2001-07-29 14:10:00,17,Sydney,West Coast,83,48,Home,2001
136,2001-08-03 19:40:00,18,Richmond,Collingwood,71,51,Home,2001
137,2001-08-04 14:10:00,18,Hawthorn,Fremantle,90,106,Away,2001
138,2001-08-04 14:10:00,18,Geelong,Melbourne,100,103,Away,2001
139,2001-08-04 19:40:00,18,Sydney,North Melbourne,143,36,Home,2001
140,2001-08-05 14:10:00,18,Port Adelaide,Adelaide,107,99,Home,2001
141,2001-08-05 14:10:00,18,Essendon,Carlton,95,102,Away,2001
142,2001-08-05 14:10:00,18,Brisbane Lions,Western Bulldogs,136,103,Home,2001
143,2001-08-05 16:10:00,18,West Coast,St Kilda,171,79,Home,2001
144,2001-08-10 19:40:00,19,North Melbourne,Geelong,131,82,Home,2001
145,2001-08-11 14:10:00,19,St Kilda,Port Adelaide,114,125,Away,2001
146,2001-08-11 19:00:00,19,Melbourne,Hawthorn,71,156,Away,2001
147,2001-08-11 19:40:00,19,Adelaide,Carlton,106,53,Home,2001
148,2001-08-12 14:10:00,19,Collingwood,Western Bulldogs,119,77,Home,2001
149,2001-08-12 14:10:00,19,Essendon,Sydney,79,77,Home,2001
150,2001-08-12 14:10:00,19,Brisbane Lions,Richmond,128,97,Home,2001
151,2001-08-12 16:10:00,19,West Coast,Fremantle,98,64,Home,2001
152,2001-08-17 19:40:00,20,North Melbourne,Adelaide,100,162,Away,2001
153,2001-08-18 14:10:00,20,Richmond,West Coast,138,73,Home,2001
154,2001-08-18 19:40:00,20,Port Adelaide,Geelong,99,69,Home,2001
155,2001-08-18 19:40:00,20,Collingwood,Essendon,87,107,Away,2001
156,2001-08-19 14:10:00,20,Fremantle,Brisbane Lions,87,138,Away,2001
157,2001-08-19 14:10:00,20,St Kilda,Carlton,104,148,Away,2001
158,2001-08-19 14:10:00,20,Hawthorn,Western Bulldogs,79,125,Away,2001
159,2001-08-19 14:10:00,20,Sydney,Melbourne,98,131,Away,2001
